model,condition,context_condition,category,n,accuracy
qwen7b,c1,disambig,Gender_identity,2836,0.9559238363892807
qwen7b,c1,ambig,Nationality,1540,0.6519480519480519
qwen7b,c1,disambig,Nationality,1540,0.8961038961038961
qwen7b,c1,ambig,Physical_appearance,788,0.6230964467005076
qwen7b,c1,disambig,Physical_appearance,788,0.7931472081218274
qwen7b,c1,ambig,Race_ethnicity,3440,0.6947674418604651
qwen7b,c1,disambig,Race_ethnicity,3440,0.9892441860465117
qwen7b,c1,ambig,Race_x_SES,5580,0.7944444444444444
qwen7b,c1,disambig,Race_x_SES,5580,0.939426523297491
qwen7b,c1,ambig,Race_x_gender,7980,0.569423558897243
qwen7b,c1,disambig,Race_x_gender,7980,0.9302005012531328
qwen7b,c1,ambig,Religion,600,0.6983333333333334
qwen7b,c1,disambig,Religion,600,0.8933333333333333
qwen7b,c1,ambig,SES,3432,0.7048368298368298
qwen7b,c1,disambig,SES,3432,0.9717365967365967
qwen7b,c1,ambig,Sexual_orientation,432,0.7986111111111112
qwen7b,c1,disambig,Sexual_orientation,432,0.9513888888888888
qwen7b,c2,all,all,58492,0.698129658756753
qwen7b,c2,ambig,all,29246,0.4427272105587089
qwen7b,c2,disambig,all,29246,0.9535321069547973
qwen7b,c2,ambig,Age,1840,0.296195652173913
qwen7b,c2,disambig,Age,1840,0.9510869565217391
qwen7b,c2,ambig,Disability_status,778,0.41259640102827766
qwen7b,c2,disambig,Disability_status,778,0.9113110539845758
qwen7b,c2,ambig,Gender_identity,2836,0.5497179125528914
qwen7b,c2,disambig,Gender_identity,2836,0.9866008462623413
qwen7b,c2,ambig,Nationality,1540,0.4435064935064935
qwen7b,c2,disambig,Nationality,1540,0.9285714285714286
qwen7b,c2,ambig,Physical_appearance,788,0.3477157360406091
qwen7b,c2,disambig,Physical_appearance,788,0.8261421319796954
qwen7b,c2,ambig,Race_ethnicity,3440,0.4947674418604651
qwen7b,c2,disambig,Race_ethnicity,3440,0.9776162790697674
qwen7b,c2,ambig,Race_x_SES,5580,0.5727598566308244
qwen7b,c2,disambig,Race_x_SES,5580,0.956810035842294
qwen7b,c2,ambig,Race_x_gender,7980,0.31090225563909774
qwen7b,c2,disambig,Race_x_gender,7980,0.9383458646616541
qwen7b,c2,ambig,Religion,600,0.49333333333333335
qwen7b,c2,disambig,Religion,600,0.9333333333333333
qwen7b,c2,ambig,SES,3432,0.4807692307692308
qwen7b,c2,disambig,SES,3432,0.9831002331002331
qwen7b,c2,ambig,Sexual_orientation,432,0.5578703703703703
qwen7b,c2,disambig,Sexual_orientation,432,0.9837962962962963
qwen7b,c3,all,all,58011,0.6563410387685095
qwen7b,c3,ambig,all,29005,0.36872952939148423
qwen7b,c3,disambig,all,29006,0.943942632558781
qwen7b,c3,ambig,Age,1599,0.32895559724828016
qwen7b,c3,disambig,Age,1600,0.98375
qwen7b,c3,ambig,Disability_status,778,0.39460154241645246
qwen7b,c3,disambig,Disability_status,778,0.8650385604113111
qwen7b,c3,ambig,Gender_identity,2836,0.3353314527503526
qwen7b,c3,disambig,Gender_identity,2836,0.9580394922425952
qwen7b,c3,ambig,Nationality,1540,0.33311688311688314
qwen7b,c3,disambig,Nationality,1540,0.9103896103896104
qwen7b,c3,ambig,Physical_appearance,788,0.3096446700507614
qwen7b,c3,disambig,Physical_appearance,788,0.8223350253807107
qwen7b,c3,ambig,Race_ethnicity,3440,0.38226744186046513
qwen7b,c3,disambig,Race_ethnicity,3440,0.9723837209302325
qwen7b,c3,ambig,Race_x_SES,5580,0.4863799283154122
qwen7b,c3,disambig,Race_x_SES,5580,0.9256272401433692
qwen7b,c3,ambig,Race_x_gender,7980,0.275062656641604
qwen7b,c3,disambig,Race_x_gender,7980,0.9432330827067669
qwen7b,c3,ambig,Religion,600,0.4166666666666667
qwen7b,c3,disambig,Religion,600,0.9083333333333333
qwen7b,c3,ambig,SES,3432,0.42103729603729606
qwen7b,c3,disambig,SES,3432,0.9807692307692307
qwen7b,c3,ambig,Sexual_orientation,432,0.5439814814814815
qwen7b,c3,disambig,Sexual_orientation,432,0.9675925925925926
