model,condition,category,accuracy_overall,accuracy_ambig,accuracy_disamb,sDIS,sAMB,n_biased_dis,n_non_unk_dis,n_biased_amb,n_non_unk_amb,n_valid,n_total,coverage
qwen2b,c3,Gender_identity,0.5095204513399154,0.1755994358251058,0.843441466854725,0.10332499106185189,0.1523272214386459,1543,2797,1385,2338,5672,5672,1.0
qwen2b,c3,Nationality,0.5366883116883117,0.2831168831168831,0.7902597402597402,0.018036072144288484,0.041558441558441586,762,1497,584,1104,3080,3080,1.0
qwen2b,c3,Physical_appearance,0.4086294416243655,0.0901015228426396,0.7271573604060914,0.22756827048114436,0.5596446700507615,472,769,579,717,1576,1576,1.0
qwen2b,c3,Race_ethnicity,0.5050872093023255,0.16627906976744186,0.8438953488372093,0.015602001766264362,0.06279069767441868,1725,3397,1542,2868,6880,6880,1.0
qwen2b,c3,Race_x_SES,0.47482078853046594,0.16810035842293908,0.7815412186379929,-0.008179570097013533,0.055197132616487475,2607,5257,2475,4642,11160,11160,1.0
qwen2b,c3,Race_x_gender,0.48778195488721804,0.10426065162907268,0.8713032581453634,-0.00226472068444894,0.015037593984962317,3965,7948,3634,7148,15960,15960,1.0
qwen2b,c3,Religion,0.5325,0.30333333333333334,0.7616666666666667,0.07490636704119846,0.06666666666666671,287,534,229,418,1200,1200,1.0
qwen2b,c3,SES,0.566579254079254,0.2686480186480186,0.8645104895104895,-0.0015101177891875261,0.09265734265734264,1653,3311,1414,2510,6864,6864,1.0
qwen2b,c3,Sexual_orientation,0.5,0.20833333333333334,0.7916666666666666,0.01904761904761898,0.013888888888888931,214,420,174,342,864,864,1.0
qwen7b,c1,all,0.804400601791698,0.6675784722697121,0.941222731313684,-0.0031721415480050474,0.09799630718730767,14141,28372,6294,9722,58492,58492,1.0
qwen7b,c1,Age,0.7336956521739131,0.5141304347826087,0.9532608695652174,0.03135498320268759,0.37282608695652175,921,1786,790,894,3680,3680,1.0
qwen7b,c1,Disability_status,0.782133676092545,0.6555269922879178,0.9087403598971723,0.056451612903225756,0.1362467866323907,393,744,187,268,1556,1556,1.0
qwen7b,c1,Gender_identity,0.8346262341325811,0.7133286318758815,0.9559238363892807,-0.012463343108504388,0.12729196050775743,1347,2728,587,813,5672,5672,1.0
qwen7b,c1,Nationality,0.7740259740259741,0.6519480519480519,0.8961038961038961,-0.029192124915139117,-0.03376623376623375,715,1473,242,536,3080,3080,1.0
qwen7b,c1,Physical_appearance,0.7081218274111675,0.6230964467005076,0.7931472081218274,0.051175656984785656,0.3591370558375635,380,723,290,297,1576,1576,1.0
qwen7b,c1,Race_ethnicity,0.8420058139534884,0.6947674418604651,0.9892441860465117,0.0011627906976743319,0.023255813953488358,1722,3440,565,1050,6880,6880,1.0
qwen7b,c1,Race_x_SES,0.8669354838709677,0.7944444444444444,0.939426523297491,-0.0013101253977166882,0.05,2668,5343,713,1147,11160,11160,1.0
qwen7b,c1,Race_x_gender,0.7498120300751879,0.569423558897243,0.9302005012531328,-0.026156423141347807,0.08120300751879699,3779,7761,2042,3436,15960,15960,1.0
qwen7b,c1,Religion,0.7958333333333333,0.6983333333333334,0.8933333333333333,0.05574912891986061,0.11833333333333332,303,574,126,181,1200,1200,1.0
qwen7b,c1,SES,0.8382867132867133,0.7048368298368298,0.9717365967365967,0.007088009450679333,0.11217948717948721,1705,3386,699,1013,6864,6864,1.0
qwen7b,c1,Sexual_orientation,0.875,0.7986111111111112,0.9513888888888888,0.004830917874396157,0.04398148148148148,208,414,53,87,864,864,1.0
qwen7b,c2,all,0.698129658756753,0.4427272105587089,0.9535321069547973,0.0,0.10989537030705056,14398,28796,9756,16298,58492,58492,1.0
qwen7b,c2,Age,0.623641304347826,0.296195652173913,0.9510869565217391,0.03340757238307357,0.49945652173913047,928,1796,1107,1295,3680,3680,1.0
qwen7b,c2,Disability_status,0.6619537275064268,0.41259640102827766,0.9113110539845758,0.06524633821571246,0.26349614395886894,400,751,331,457,1556,1556,1.0
qwen7b,c2,Gender_identity,0.7681593794076164,0.5497179125528914,0.9866008462623413,-0.002135231316725994,0.2020451339915374,1402,2810,925,1277,5672,5672,1.0
qwen7b,c2,Nationality,0.686038961038961,0.4435064935064935,0.9285714285714286,-0.011889035667106973,-0.055194805194805206,748,1514,386,857,3080,3080,1.0
qwen7b,c2,Physical_appearance,0.5869289340101523,0.3477157360406091,0.8261421319796954,0.05151915455746359,0.5710659898477157,398,757,482,514,1576,1576,1.0
qwen7b,c2,Race_ethnicity,0.7361918604651163,0.4947674418604651,0.9776162790697674,-0.011480718280836077,0.05523255813953486,1679,3397,964,1738,6880,6880,1.0
qwen7b,c2,Race_x_SES,0.7647849462365591,0.5727598566308244,0.956810035842294,-0.0047882136279926435,0.017921146953405003,2702,5430,1242,2384,11160,11160,1.0
qwen7b,c2,Race_x_gender,0.624624060150376,0.31090225563909774,0.9383458646616541,-0.012304960040593671,0.04223057644110281,3893,7883,2918,5499,15960,15960,1.0
qwen7b,c2,Religion,0.7133333333333334,0.49333333333333335,0.9333333333333333,0.058430717863105164,0.16999999999999998,317,599,203,304,1200,1200,1.0
qwen7b,c2,SES,0.7319347319347319,0.4807692307692308,0.9831002331002331,0.0,0.11363636363636362,1714,3428,1086,1782,6864,6864,1.0
qwen7b,c2,Sexual_orientation,0.7708333333333334,0.5578703703703703,0.9837962962962963,0.006960556844547661,0.07638888888888885,217,431,112,191,864,864,1.0
qwen7b,c3,all,0.6563410387685095,0.36872952939148423,0.943942632558781,0.006656390134529122,0.11315290467160836,14367,28544,10796,18310,58011,58492,0.991776653217534
qwen7b,c3,Age,0.6564551422319475,0.32895559724828016,0.98375,0.01314965560425807,0.46716697936210133,809,1597,910,1073,3199,3680,0.8692934782608696
qwen7b,c3,Disability_status,0.6298200514138818,0.39460154241645246,0.8650385604113111,0.07883817427385886,0.27120822622107965,390,723,341,471,1556,1556,1.0
qwen7b,c3,Gender_identity,0.6466854724964739,0.3353314527503526,0.9580394922425952,0.047957371225577194,0.18370944992947816,1475,2815,1203,1885,5672,5672,1.0
qwen7b,c3,Nationality,0.6217532467532467,0.33311688311688314,0.9103896103896104,0.0020066889632106566,-0.05649350649350647,749,1495,470,1027,3080,3080,1.0
qwen7b,c3,Physical_appearance,0.565989847715736,0.3096446700507614,0.8223350253807107,0.0649006622516557,0.5837563451776651,402,755,502,544,1576,1576,1.0
qwen7b,c3,Race_ethnicity,0.6773255813953488,0.38226744186046513,0.9723837209302325,0.0032116788321168155,0.0706395348837209,1718,3425,1184,2125,6880,6880,1.0
qwen7b,c3,Race_x_SES,0.7060035842293907,0.4863799283154122,0.9256272401433692,-0.014758079581543071,0.048387096774193505,2637,5353,1568,2866,11160,11160,1.0
qwen7b,c3,Race_x_gender,0.6091478696741854,0.275062656641604,0.9432330827067669,-0.0046593628006548204,0.035714285714285754,3952,7941,3035,5785,15960,15960,1.0
qwen7b,c3,Religion,0.6625,0.4166666666666667,0.9083333333333333,0.03703703703703698,0.14333333333333334,308,594,218,350,1200,1200,1.0
qwen7b,c3,SES,0.7009032634032634,0.42103729603729606,0.9807692307692307,0.00029265437518288806,0.14947552447552448,1709,3417,1250,1987,6864,6864,1.0
qwen7b,c3,Sexual_orientation,0.7557870370370371,0.5439814814814815,0.9675925925925926,0.01631701631701632,0.07638888888888885,218,429,115,197,864,864,1.0
